2025-08-20 08:37:24,893 serial_wrap.py, line 83, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-08-20 08:37:27,413 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,414 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,414 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,415 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,415 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,416 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,416 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,417 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,417 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,417 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,418 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,418 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,419 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,419 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,420 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,420 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,421 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,421 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,422 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,422 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,423 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,423 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,424 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,424 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,425 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,425 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,425 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,426 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,426 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,427 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,427 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,428 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,428 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,429 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,429 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,430 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,430 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,431 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,431 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,432 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,432 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,432 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,433 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,433 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,434 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,434 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,435 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,435 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,436 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,436 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,437 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,437 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,438 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,438 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,439 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,439 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,440 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,441 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,441 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,442 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,442 camera.py, line 82, ERROR:read:读取图像错误!!!!
